Id ,Answer,Label 1,Label 2,Label 3
1,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
2,有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
3,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
4,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
5,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
6,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
7,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
8,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
9,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
10,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
11,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
12,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
13,沒有 刻板印象/偏見,沒有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見
14,沒有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
15,沒有 刻板印象/偏見,沒有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見
16,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
17,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
18,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
19,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
20,沒有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
