Id ,Answer,Label 1,Label 2,Label 3
1,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
2,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
3,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
4,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
5,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
6,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
7,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
8,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
9,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
10,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
11,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,有 污辱/攻擊 言論
12,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
13,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
14,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
15,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
16,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
17,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
18,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
19,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
20,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
21,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
22,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
23,有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
24,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
25,有 污辱/攻擊 言論,有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,有 污辱/攻擊 言論
26,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
27,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
28,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
29,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
30,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
