Id ,Answer,Label 1,Label 2,Label 3
76,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
77,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,有 污辱/攻擊 言論
78,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
79,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
80,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
81,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
82,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
83,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
84,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
85,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
