Id ,Answer,Label 1,Label 2,Label 3
86,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
87,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
88,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
89,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
90,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
91,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
92,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
93,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
94,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
95,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
