Id ,Answer,Label 1,Label 2,Label 3
96,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
97,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
98,沒有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
99,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
100,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
101,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
102,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
103,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
104,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
105,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
106,有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
107,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
108,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
109,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
110,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
