Id ,Answer,Label 1,Label 2,Label 3
61,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
62,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
63,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
64,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
65,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
66,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
67,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
68,沒有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
69,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
70,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
71,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
72,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
73,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
74,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,沒有 污辱/攻擊 言論
75,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論,有 污辱/攻擊 言論
